Time,R-HipX,R-HipY,R-HipZ,L-HipX,L-HipY,L-HipZ,R-KneeX,R-KneeY,R-KneeZ,L-KneeX,L-KneeY,L-KneeZ,R-AnkleX,R-AnkleY,R-AnkleZ,L-AnkleX,L-AnkleY,L-AnkleZ,R-HeelX,R-HeelY,R-HeelZ,L-HeelX,L-HeelY,L-HeelZ,R-ToeX,R-ToeY,R-ToeZ,L-ToeX,L-ToeY,L-ToeZ,FXplate1(N),FYplate1(N),FZplate1(N),DXplate1(m),DYplate1(m),TZplate1(Nm),FXplate2(N),FYplate2(N),FZplate2(N),DXplate2(m),DYplate2(m),TZplate2(Nm)
0,-0.193,0.161,0.905,-0.201,0.326,0.901,-0.037,0.197,0.534,-0.327,0.326,0.509,0.059,0.204,0.09,-0.61,0.326,0.138,-0.007,0.205,0.036,-0.695,0.321,0.152,0.261,0.232,0.133,-0.441,0.308,0.018,-12,-38,390,0.025,0.222,-2.112,0,0,0,0,0,0
0.02,-0.181,0.159,0.906,-0.188,0.323,0.901,-0.025,0.195,0.535,-0.312,0.326,0.508,0.065,0.204,0.088,-0.602,0.328,0.143,-0.005,0.204,0.037,-0.687,0.321,0.161,0.268,0.234,0.122,-0.439,0.31,0.017,-114,-25,433,0.034,0.221,-2.953,0,0,0,0,0,0
0.04,-0.166,0.156,0.908,-0.173,0.321,0.902,-0.01,0.193,0.537,-0.293,0.325,0.506,0.07,0.205,0.086,-0.592,0.33,0.151,-0.004,0.204,0.038,-0.675,0.321,0.172,0.274,0.236,0.11,-0.436,0.313,0.016,-68,-11,473,0.037,0.218,-0.5,0,0,0,0,0,0
0.06,-0.147,0.154,0.911,-0.152,0.319,0.903,0.009,0.19,0.54,-0.264,0.324,0.503,0.075,0.205,0.084,-0.579,0.331,0.161,-0.002,0.203,0.039,-0.659,0.321,0.188,0.28,0.237,0.099,-0.435,0.313,0.014,-96,17,558,0.051,0.212,0.301,0,0,0,0,0,0
0.08,-0.126,0.152,0.915,-0.129,0.316,0.906,0.029,0.187,0.541,-0.228,0.324,0.499,0.079,0.205,0.082,-0.561,0.33,0.172,-0.001,0.203,0.041,-0.638,0.321,0.206,0.284,0.237,0.092,-0.434,0.311,0.012,-111,31,609,0.064,0.207,0.154,0,0,0,0,0,0
0.1,-0.103,0.149,0.92,-0.107,0.314,0.91,0.045,0.185,0.542,-0.189,0.324,0.496,0.081,0.206,0.081,-0.539,0.327,0.183,0,0.202,0.041,-0.613,0.318,0.224,0.286,0.238,0.088,-0.429,0.308,0.01,-106,28,647,0.069,0.207,-0.416,0,0,0,0,0,0
0.12,-0.081,0.147,0.924,-0.086,0.312,0.914,0.058,0.184,0.542,-0.148,0.325,0.494,0.082,0.206,0.081,-0.511,0.323,0.194,0,0.201,0.042,-0.583,0.312,0.241,0.287,0.239,0.086,-0.417,0.306,0.011,-96,21,645,0.07,0.206,-0.86,0,0,0,0,0,0
0.14,-0.059,0.144,0.928,-0.065,0.308,0.919,0.068,0.183,0.542,-0.108,0.325,0.493,0.082,0.206,0.08,-0.479,0.318,0.204,0,0.201,0.042,-0.548,0.306,0.254,0.287,0.241,0.086,-0.397,0.305,0.014,-85,16,633,0.075,0.205,-0.816,0,0,0,0,0,0
0.16,-0.039,0.141,0.933,-0.046,0.306,0.923,0.076,0.182,0.542,-0.068,0.326,0.495,0.082,0.206,0.08,-0.444,0.313,0.211,0,0.2,0.042,-0.511,0.299,0.263,0.287,0.243,0.086,-0.368,0.303,0.018,-74,15,609,0.081,0.204,-1.349,0,0,0,0,0,0
0.18,-0.02,0.139,0.936,-0.027,0.304,0.928,0.084,0.182,0.542,-0.03,0.327,0.498,0.082,0.206,0.081,-0.405,0.309,0.216,0,0.2,0.043,-0.472,0.293,0.267,0.287,0.243,0.087,-0.331,0.3,0.022,-67,17,583,0.087,0.201,-1.765,0,0,0,0,0,0
0.2,-0.001,0.138,0.94,-0.009,0.303,0.932,0.091,0.181,0.542,0.008,0.329,0.502,0.082,0.205,0.081,-0.364,0.306,0.217,-0.001,0.199,0.043,-0.433,0.29,0.266,0.287,0.242,0.087,-0.285,0.297,0.025,-60,21,560,0.097,0.198,-1.943,0,0,0,0,0,0
0.22,0.016,0.138,0.943,0.008,0.303,0.936,0.097,0.181,0.541,0.044,0.329,0.506,0.082,0.204,0.082,-0.321,0.304,0.215,-0.001,0.199,0.043,-0.392,0.287,0.261,0.286,0.242,0.087,-0.233,0.294,0.028,-54,22,553,0.103,0.196,-1.678,0,0,0,0,0,0
0.24,0.033,0.138,0.945,0.025,0.303,0.939,0.103,0.18,0.541,0.079,0.329,0.511,0.082,0.203,0.082,-0.277,0.301,0.211,0,0.199,0.043,-0.351,0.284,0.252,0.286,0.241,0.089,-0.175,0.293,0.031,-50,17,567,0.108,0.195,-1.27,0,0,0,0,0,0
0.26,0.049,0.138,0.946,0.042,0.303,0.942,0.108,0.18,0.54,0.113,0.328,0.515,0.081,0.203,0.083,-0.232,0.299,0.205,0,0.199,0.044,-0.308,0.281,0.24,0.286,0.239,0.091,-0.113,0.294,0.036,-45,16,578,0.111,0.194,-1.18,0,0,0,0,0,0
0.28,0.065,0.138,0.947,0.058,0.303,0.944,0.113,0.179,0.54,0.146,0.327,0.521,0.081,0.203,0.083,-0.184,0.297,0.196,0,0.2,0.044,-0.264,0.277,0.225,0.286,0.238,0.091,-0.049,0.298,0.04,-41,13,578,0.115,0.194,-0.729,0,0,0,0,0,0
0.3,0.08,0.137,0.947,0.074,0.302,0.946,0.118,0.18,0.539,0.176,0.326,0.527,0.082,0.204,0.083,-0.134,0.296,0.185,0.001,0.2,0.044,-0.217,0.274,0.207,0.286,0.238,0.089,0.016,0.302,0.043,-34,16,562,0.118,0.194,-0.12,0,0,0,0,0,0
0.32,0.095,0.137,0.946,0.09,0.302,0.946,0.123,0.18,0.538,0.205,0.323,0.533,0.082,0.205,0.082,-0.082,0.295,0.171,0.001,0.2,0.045,-0.166,0.273,0.186,0.287,0.24,0.084,0.082,0.306,0.045,-26,17,557,0.115,0.197,0.963,0,0,0,0,0,0
0.34,0.11,0.136,0.946,0.106,0.301,0.947,0.129,0.181,0.537,0.232,0.32,0.54,0.082,0.207,0.08,-0.027,0.295,0.157,0,0.2,0.045,-0.113,0.274,0.164,0.287,0.243,0.078,0.148,0.308,0.047,-20,1,593,0.114,0.199,1.435,0,0,0,0,0,0
0.36,0.125,0.135,0.945,0.122,0.3,0.947,0.134,0.181,0.536,0.258,0.316,0.546,0.083,0.209,0.079,0.029,0.295,0.143,0.001,0.2,0.045,-0.058,0.275,0.143,0.287,0.244,0.075,0.214,0.309,0.05,-12,-5,614,0.115,0.201,1.585,0,0,0,0,0,0
