sampleNo,高級感のある,美しい,地味な,かっこいい,下品な,スマートな,スリムな,やさしい,若々しい,シンプルな,ソフトな,エレガントな,モダンな,暖かい,ゴージャスな,きちんとした,ナチュラルな,センスのある,活動的な,かたい,カジュアルな,かわいい,華やかな,優美な,大人っぽい,個性的な,重苦しい,子供っぽい,単調な,今風な,魅力的な,洗練された,落ち着いた,派手な,直線的な,セクシーな,暗い,健康的な,スポーティーな,明るい,曲線的な,ハードな,上品な,ごてごてした,都会的な,ボーイッシュな,クラシカルな,知的な,やわらかい,かっこわるい,シックな,おしゃれな,物静かな,変化にとんだ,さわやかな,ボリューム感のある,シャープな,男性らしい,女性らしい,安っぽい,買ってみたい
１,4.166666667,3.5,2.666666667,3.5,1.5,4.333333333,4,2.666666667,1.833333333,4.166666667,1.833333333,3.666666667,2.666666667,2.166666667,2.833333333,4,2.5,3.5,2,4.166666667,2.666666667,1.666666667,2.666666667,3,3.5,2.666666667,3.5,1,3.333333333,2,3,3.5,3,2.166666667,4.166666667,2.666666667,2.666666667,2.333333333,1.333333333,2.5,1.333333333,3.833333333,3.333333333,2.833333333,3.5,2.5,3.5,4,1.333333333,2.666666667,3.666666667,3.666666667,4.333333333,2.666666667,3.833333333,2,3.666666667,2.833333333,2.333333333,1.833333333,2.166666667
2,3.833333333,3,2.166666667,3,1.333333333,3.666666667,1.833333333,2.166666667,2.5,2.333333333,2.166666667,2.666666667,3.333333333,3.333333333,3.333333333,3.333333333,2.5,3.166666667,3,4.5,3.166666667,1.333333333,2.5,2,3.833333333,3,2.833333333,2,3.5,2.333333333,2.666666667,2.833333333,3.333333333,2.333333333,1.666666667,2.166666667,3.166666667,3.333333333,3.333333333,2.833333333,4.333333333,4,3.333333333,3.333333333,2.666666667,3,2.666666667,3.333333333,3,2.166666667,2.5,2.833333333,2.833333333,2.333333333,2.833333333,3.333333333,2.666666667,3.833333333,1.833333333,2.833333333,2.833333333
5,3.833333333,3.666666667,2.666666667,1.833333333,1.166666667,3.666666667,4.333333333,4.166666667,3,3.5,3.166666667,3.666666667,2.5,2.833333333,3.666666667,2.666666667,3,3.5,3.166666667,2,3.166666667,3.833333333,3.5,3.333333333,4.333333333,3.166666667,2.333333333,2.166666667,3.166666667,1.833333333,3.666666667,2.333333333,3.5,2.333333333,2.166666667,2.666666667,2.5,2.833333333,1.666666667,3.333333333,4.166666667,2.666666667,3.833333333,2.666666667,3.166666667,2.166666667,3.666666667,3.833333333,3.333333333,2.166666667,3,3.333333333,3.333333333,2.666666667,2.833333333,1.666666667,2.833333333,1.166666667,5,3.333333333,2.166666667
7,3.833333333,3.333333333,3.333333333,3.166666667,1.333333333,2.833333333,3.166666667,3.666666667,1.666666667,4,3.333333333,3.333333333,2.833333333,3.833333333,2.666666667,4,3.5,3.833333333,2.5,2.833333333,3.666666667,2.666666667,2.333333333,2.833333333,4.333333333,2.833333333,2.666666667,1.5,3.333333333,1.833333333,3.666666667,3.666666667,4.166666667,1.833333333,3.333333333,3,3.333333333,2.833333333,1.5,2.666666667,2.5,2.666666667,3.833333333,2,3.166666667,3.166666667,3.666666667,3.833333333,2.666666667,2.166666667,3.333333333,3.333333333,3,2.333333333,2.666666667,2,2.333333333,3.666666667,2.333333333,2.166666667,3.333333333
8,3.666666667,3.166666667,1.5,3,2.333333333,2,1.166666667,2.333333333,3.5,1.333333333,2.166666667,2.833333333,3.666666667,3.333333333,3.5,1.666666667,2.5,4,3.666666667,4.166666667,4.166666667,3.333333333,2.5,3,2.833333333,5,3.833333333,3.166666667,1.833333333,3,3,2.333333333,1.666666667,4.333333333,1.166666667,3,2.166666667,3.166666667,2.666666667,3.833333333,4.833333333,4,2.833333333,4,2.5,3.666666667,2.333333333,2.5,2.5,3.5,2.166666667,3.333333333,2.333333333,4.833333333,2,4.666666667,2.5,4.166666667,2.333333333,2.166666667,2.333333333
12,3.666666667,3.833333333,3.5,4,1.5,3.833333333,3.5,2.333333333,2.166666667,4.666666667,2.666666667,3.5,2.666666667,2.166666667,3,4.5,3,3.166666667,2.5,3.166666667,3,1.5,2.5,2.666666667,4.5,2.666666667,4.166666667,1.666666667,4.166666667,2.833333333,3.666666667,4.166666667,4.833333333,1.833333333,2.166666667,2.833333333,3,2.5,2,2.333333333,3.666666667,4.333333333,4.333333333,3.333333333,3.166666667,3.833333333,3.166666667,4.166666667,2,1.5,2.833333333,3.5,3.5,2,3.833333333,2.666666667,3.833333333,4.5,1.833333333,2.833333333,3.333333333
16,3.166666667,3.5,3.666666667,3,1.333333333,3.5,3.333333333,3,2.333333333,4.833333333,2.833333333,2.833333333,3.166666667,2,2.166666667,3.833333333,3.5,3.666666667,2,3.333333333,3,2,1.833333333,2.166666667,3.333333333,2.666666667,2.333333333,1.666666667,3,3.166666667,3.166666667,3.5,3.666666667,1.666666667,2.666666667,2.333333333,3.666666667,2.166666667,1.833333333,2.166666667,3.666666667,3.666666667,3.166666667,2.166666667,3.666666667,3.333333333,2.833333333,3.333333333,2.666666667,1.833333333,3.333333333,3.166666667,4,1.666666667,2.833333333,2.666666667,3.166666667,4,2.5,2.333333333,3
18,4,3.5,3,2.833333333,2.166666667,3.166666667,2.833333333,2.166666667,1.666666667,3.166666667,1.833333333,2.833333333,2,2.166666667,3.666666667,2.833333333,2.5,3.166666667,2,3,2.166666667,1.666666667,2.666666667,2.666666667,4.333333333,4,4,1.666666667,2.5,2.5,2.833333333,3.5,2.666666667,3.166666667,4,3.333333333,3.666666667,2.166666667,2,2.666666667,2,3.5,3.166666667,3.666666667,3,2.833333333,4,3.5,2,3.166666667,3.333333333,3,2.666666667,2.666666667,2.333333333,3,3.166666667,4.166666667,2,2.166666667,2
19,4.333333333,4.166666667,2.166666667,4,2,3.833333333,3.166666667,3.666666667,3.833333333,3.666666667,2.833333333,4.166666667,4,2.666666667,3.666666667,4.166666667,3,4.333333333,2.833333333,4,3.5,3.333333333,2,2.666666667,3.5,3,2.833333333,2.5,2.166666667,3.833333333,4.333333333,4,3.666666667,2.333333333,2.666666667,2.833333333,2.666666667,3.333333333,2.5,2.5,3.333333333,3.333333333,3.666666667,2.833333333,3.833333333,4,2.666666667,3.666666667,2.5,1.5,3,4,2.666666667,2.666666667,2.833333333,2.833333333,3.166666667,3.666666667,2.833333333,1.833333333,3.666666667
21,4,3.333333333,2.333333333,2.833333333,2.333333333,2.166666667,2.166666667,2,2.833333333,2.166666667,1.666666667,3.5,3,2.166666667,4.5,2.166666667,1.833333333,2.5,2.333333333,4,2.833333333,1.833333333,2.833333333,2.666666667,2.833333333,4.5,4,3.166666667,2,3,2.833333333,2.833333333,1.833333333,4.166666667,2,2.666666667,1.666666667,2,2,3.5,4.666666667,4.333333333,3.5,4.333333333,2.666666667,3,2.5,2.166666667,2.166666667,3.166666667,2.5,2.333333333,1.833333333,4.333333333,2.333333333,3.833333333,2.166666667,4.333333333,1.666666667,2.833333333,2.5
